lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,Stories,hasGarage,hasAssociation,HasSecurityFeatures
7230.0,1405.0,2.033333333333333,3.0,1457,13,2.0,3,1,0,1,1
11761.2,2895.0,3.6666666666666665,7.0,1277,16,3.0,3,3,1,1,1
13503.6,2648.0,3.966666666666667,8.0,1373,14,3.0,4,2,0,1,0
25264.8,3958.0,4.0,7.0,1177,16,4.0,4,2,0,0,0
7461.0,2814.0,1.3,3.0,1108,14,3.0,4,2,1,1,0
87120.0,7745.0,3.4666666666666663,9.333333333333334,1360,14,8.0,7,2,1,1,0
5662.0,1730.0,2.1,8.333333333333334,1481,16,3.0,3,2,0,1,0
5967.0,2177.0,3.1333333333333333,3.6666666666666665,1532,12,3.0,4,2,0,1,1
12632.4,2338.0,1.7,9.0,1616,16,2.0,3,2,1,0,1
5227.0,1452.0,3.333333333333333,3.0,1457,13,2.0,3,1,1,1,0
9147.0,1762.0,3.2,3.6666666666666665,1085,11,2.0,4,1,1,1,0
21780.0,2162.0,3.233333333333333,7.0,1277,16,3.0,3,2,1,1,0
11325.6,3436.0,5.333333333333333,5.666666666666668,1332,16,3.0,4,2,0,1,0
9452.0,2927.0,3.0,7.0,1523,17,4.0,4,2,1,0,0
6211.0,1582.0,1.2,3.6666666666666665,1051,12,2.0,3,1,1,1,0
10149.0,3254.0,0.7999999999999999,7.666666666666668,1281,14,3.0,5,1,1,1,0
31363.2,5576.0,2.05,9.0,1669,15,7.0,5,2,0,1,0
6141.0,1776.0,3.3000000000000003,3.0,1457,13,3.0,5,2,1,1,0
12632.4,4952.0,2.1333333333333333,8.666666666666666,1533,17,4.0,4,2,1,1,0
11761.2,1850.0,4.033333333333333,8.0,1373,14,2.0,3,1,1,1,1
16117.2,1707.0,1.8666666666666665,7.0,1483,16,2.0,3,1,0,1,0
40946.4,2667.0,3.233333333333333,7.0,1277,16,3.0,3,2,0,1,0
6229.0,2486.0,1.4,2.6666666666666665,1063,14,3.0,3,2,0,1,0
42253.2,5234.0,2.05,9.0,1669,15,5.0,5,3,0,1,0
9365.0,3282.0,0.8000000000000002,7.666666666666668,1281,14,3.0,4,2,0,1,0
8494.0,2275.0,3.1333333333333333,3.6666666666666665,1532,12,3.0,4,1,1,1,0
44431.2,4941.0,3.6,8.0,1373,14,0.0,5,1,1,1,0
5357.0,1320.0,3.2,3.6666666666666665,1085,11,2.0,3,1,1,1,0
21780.0,2667.0,2.266666666666666,7.0,1523,17,3.0,4,1,1,0,1
