,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
121,7405.0,2428.0,1.4666666666666668,8.0,1275,15,3.0,3,475000.0,78726,2,0,1,29374973
122,10000.0,1256.0,3.3000000000000003,3.0,1457,13,2.0,3,219000.0,78725,1,1,1,89550707
123,6011.0,3047.0,1.3,2.6666666666666665,1063,14,3.0,3,293300.0,78660,2,1,0,114405230
124,7274.0,1712.0,1.7000000000000002,3.0,1457,13,3.0,3,229999.0,78725,2,0,0,29459909
125,13503.6,2234.0,0.9,8.666666666666666,1632,16,3.0,3,415000.0,78750,1,0,0,29375972
126,4835.0,1315.0,3.1,3.6666666666666665,1085,11,2.0,3,175000.0,78724,1,0,0,29396983
127,20037.6,2089.0,2.2,7.0,1523,17,2.0,3,398900.0,78750,1,0,0,58299481
128,9626.0,3319.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,5,389900.0,78744,2,1,1,145656393
129,7230.0,3415.0,3.2999999999999994,7.666666666666668,1259,14,4.0,5,536170.0,78717,2,1,0,116080940
130,18295.2,4137.0,2.033333333333333,7.0,1277,16,4.0,5,665000.0,78726,2,1,0,29370850
131,5880.0,1587.0,1.7000000000000002,3.0,1457,13,2.0,4,179900.0,78725,1,0,0,29459907
132,6054.0,2766.0,1.4,8.0,1275,15,3.0,4,519900.0,78726,2,0,1,29374967
133,5000.0,2643.0,3.1333333333333333,3.0,1457,13,3.0,4,341054.0,78725,2,1,0,2082038175
134,8537.0,2576.0,2.833333333333333,7.0,1523,17,3.0,3,428000.0,78750,2,0,1,29358997
135,4312.0,1203.0,1.8666666666666665,3.0,1457,13,2.0,3,185000.0,78725,1,1,0,70341359
136,10236.0,3257.0,1.8666666666666665,8.333333333333334,1481,16,4.0,5,415000.0,78717,2,1,0,185217435
137,6141.0,2505.0,1.4,2.6666666666666665,1063,14,3.0,4,299900.0,78660,2,1,1,120898222
138,6098.0,1659.0,2.766666666666667,3.6666666666666665,1085,11,3.0,3,249900.0,78724,2,1,0,83823977
139,19166.4,3486.0,2.5,8.333333333333334,1533,17,4.0,4,725000.0,78732,2,1,0,70352470
140,6098.0,1321.0,2.2,3.0,1457,13,3.0,3,198000.0,78725,2,1,1,145551402
141,55321.2,2100.0,4.833333333333333,7.0,1177,16,2.0,3,550000.0,78730,1,0,0,29355980
142,14374.8,1500.0,2.9,3.0,1457,13,2.0,3,179900.0,78725,1,0,0,29465172
143,8520.0,1616.0,0.9333333333333332,8.666666666666666,1632,16,3.0,3,355000.0,78750,2,1,0,58300466
144,6795.0,2046.0,1.0,3.0,1108,14,2.0,4,310000.0,78753,1,0,0,29438720
145,6534.0,1411.0,1.6666666666666667,3.0,1457,13,2.0,3,155000.0,78725,1,0,0,29459899
146,4704.0,1892.0,1.7666666666666666,3.0,1457,13,3.0,3,189000.0,78725,2,1,0,64812856
147,28749.6,4558.0,2.5,8.333333333333334,1533,17,5.0,5,1025000.0,78732,2,1,1,70352465
148,5488.0,2095.0,2.9,3.6666666666666665,1532,12,2.0,3,339900.0,78744,1,1,1,145655881
